10,80,5.0
10,218,5.0
10,182,4.5
11,80,5.0
11,218,5.0
11,84,5.0
11,182,4.0
12,80,5.0
12,218,4.5
12,182,5.0
12,84,4.5
13,80,5.0
13,84,5.0
13,148,4.0
13,218,3.5
14,80,5.0
14,218,5.0
14,84,4.5
14,182,5.0
15,80,5.0
15,182,5.0
15,148,4.0
15,218,4.5
16,80,5.0
16,218,5.0
16,84,5.0
16,148,3.5
17,80,5.0
17,182,5.0
17,148,3.5
17,84,4.0
18,218,5.0
18,84,5.0
18,148,4.5
18,80,4.0
19,218,5.0
19,182,5.0
19,84,4.0
19,148,3.0
20,80,5.0
20,218,5.0
20,182,4.5
20,84,5.0
20,148,3.5
21,80,5.0
21,218,4.5
21,148,3.0
21,182,4.0
22,80,5.0
22,84,5.0
22,182,5.0
22,218,4.5
23,218,5.0
23,84,5.0
23,148,4.0
23,80,4.5
24,80,5.0
24,182,5.0
24,84,4.5
24,148,3.0
25,80,5.0
25,218,5.0
25,148,3.5
25,182,4.0
26,218,5.0
26,84,5.0
26,182,4.5
26,148,4.0
27,80,5.0
27,218,5.0
27,84,5.0
27,182,4.5
28,80,5.0
28,182,5.0
28,148,3.0
28,84,4.0
29,218,5.0
29,84,5.0
29,148,4.5
29,182,4.0
30,80,5.0
30,218,5.0
30,182,5.0
30,84,4.5
31,80,4.5
31,84,5.0
31,148,4.0
31,218,4.0
32,218,5.0
32,182,5.0
32,84,4.5
32,148,3.5
33,80,5.0
33,218,4.5
33,148,3.5
33,182,4.0
34,80,5.0
34,84,5.0
34,182,5.0
34,218,4.5
35,218,5.0
35,84,5.0
35,148,4.0
35,80,4.0
36,80,5.0
36,218,5.0
36,182,4.5
36,84,4.5
37,80,5.0
37,84,5.0
37,148,3.0
37,218,4.5
38,218,5.0
38,182,5.0
38,84,5.0
38,148,3.5
39,80,5.0
39,218,5.0
39,148,4.5
39,182,4.0
40,80,5.0
40,84,5.0
40,182,5.0
40,218,4.5
41,182,5.0
41,84,5.0
41,148,3.5
41,218,4.0
42,182,5.0
42,218,4.5
42,80,5.0
42,84,4.5
43,182,5.0
43,84,5.0
43,148,4.0
43,80,4.0
44,182,5.0
44,218,5.0
44,80,4.5
44,84,5.0
45,182,4.5
45,84,5.0
45,148,3.5
45,218,4.0
46,182,5.0
46,218,5.0
46,80,5.0
46,148,3.0
47,182,5.0
47,84,5.0
47,148,4.0
47,218,4.5
48,182,5.0
48,218,4.5
48,80,5.0
48,84,4.5
49,182,4.5
49,84,5.0
49,148,3.5
49,80,4.0
50,182,5.0
50,218,5.0
50,80,5.0
50,84,4.5
90,148,5.0
90,2203,5.0
90,3706,5.0
90,80,3.0
91,148,5.0
91,2203,5.0
91,3706,5.0
91,218,3.5
92,148,5.0
92,2203,5.0
92,3706,5.0
92,84,3.0
93,148,4.5
93,2203,4.5
93,3706,4.5
93,182,3.0
94,148,5.0
94,2203,5.0
94,3706,5.0
94,80,3.5
95,148,5.0
95,2203,5.0
95,3706,5.0
95,218,3.0
96,148,4.5
96,2203,4.5
96,3706,4.5
96,84,3.5
97,148,5.0
97,2203,5.0
97,3706,5.0
97,182,3.0
98,148,5.0
98,2203,5.0
98,3706,5.0
98,80,3.5
99,148,5.0
99,2203,5.0
99,3706,5.0
99,218,3.0
100,148,5.0
100,2203,5.0
100,3706,5.0
100,84,3.5
101,148,4.5
101,2203,4.5
101,3706,4.5
101,182,3.0
102,148,5.0
102,2203,5.0
102,3706,5.0
102,80,3.5
103,148,5.0
103,2203,5.0
103,3706,5.0
103,218,3.0
104,148,5.0
104,2203,5.0
104,3706,5.0
104,84,3.5
105,148,4.5
105,2203,4.5
105,3706,4.5
105,182,3.0
106,148,5.0
106,2203,5.0
106,3706,5.0
106,80,3.5
107,148,5.0
107,2203,5.0
107,3706,5.0
107,218,3.0
108,148,5.0
108,2203,5.0
108,3706,5.0
108,84,3.5
109,148,5.0
109,2203,5.0
109,3706,5.0
109,182,3.0
110,80,5.0
110,218,4.5
